CustomerKey,FirstName,LastName,EmailAddress,City,StateProvinceName,Country,DateFirstPurchase
11614,Katrina,Sharma,katrina8@adventure-works.com,Offenbach,Saarland,Germany,2012-05-10
16298,Adrienne,Sanz,adrienne16@adventure-works.com,Hamburg,Hamburg,Germany,2012-05-10
16822,Marshall,Lin,marshall7@adventure-works.com,Peterborough,England,United Kingdom,2012-05-10
19280,Darrell,Andersen,darrell2@adventure-works.com,Paris,Seine (Paris),France,2012-05-10
22402,Clarence,Xie,clarence18@adventure-works.com,Rockhampton,Queensland,Australia,2012-05-10
22408,Clarence,Shan,clarence25@adventure-works.com,South Melbourne,Victoria,Australia,2012-05-10
22581,Theresa,Vazquez,theresa10@adventure-works.com,Wollongong,New South Wales,Australia,2012-05-10
22851,Kaylee,Edwards,kaylee21@adventure-works.com,Caloundra,Queensland,Australia,2012-05-10
26433,Nelson,Rubio,nelson20@adventure-works.com,Silverwater,New South Wales,Australia,2012-05-10
26536,Katherine,Thomas,katherine81@adventure-works.com,Glendale,California,United States,2012-05-10
26575,Toni,Gonzalez,toni19@adventure-works.com,Burlingame,California,United States,2012-05-10
