CustomerKey,FirstName,LastName,EmailAddress,City,StateProvinceName,Country,DateFirstPurchase
11613,Meredith,Prasad,meredith8@adventure-works.com,Leipzig,Nordrhein-Westfalen,Germany,2012-05-13
11614,Katrina,Sharma,katrina8@adventure-works.com,Offenbach,Saarland,Germany,2012-05-10
12130,Suzanne,Zhou,suzanne10@adventure-works.com,Paderborn,Hamburg,Germany,2012-05-08
12213,Alejandro,Lal,alejandro35@adventure-works.com,München,Nordrhein-Westfalen,Germany,2012-05-09
12299,Walter,Serrano,walter9@adventure-works.com,West Sussex,England,United Kingdom,2012-05-09
13484,Marcus,Martinez,marcus18@adventure-works.com,Bellflower,California,United States,2012-05-12
13653,Tony,Chander,tony18@adventure-works.com,Burien,Washington,United States,2012-05-13
13658,Wyatt,Bennett,wyatt53@adventure-works.com,Redmond,Washington,United States,2012-05-13
13704,Victoria,Davis,victoria6@adventure-works.com,Walla Walla,Washington,United States,2012-05-13
13714,Amanda,Ward,amanda12@adventure-works.com,Milwaukie,Oregon,United States,2012-05-11
14818,Diane,Ruiz,diane7@adventure-works.com,Colombes,Hauts de Seine,France,2012-05-08
14848,George,Louverdis,george5@adventure-works.com,Dunkerque,Nord,France,2012-05-11
15374,Donna,Kumar,donna7@adventure-works.com,Burlingame,California,United States,2012-05-08
15379,Amanda,Griffin,amanda42@adventure-works.com,San Diego,California,United States,2012-05-14
16298,Adrienne,Sanz,adrienne16@adventure-works.com,Hamburg,Hamburg,Germany,2012-05-10
16313,Hailey,Russell,hailey40@adventure-works.com,Paderborn,Nordrhein-Westfalen,Germany,2012-05-13
16327,Darren,Diaz,darren24@adventure-works.com,Salzgitter,Hessen,Germany,2012-05-12
16822,Marshall,Lin,marshall7@adventure-works.com,Peterborough,England,United Kingdom,2012-05-10
16823,Stacy,Ruiz,stacy3@adventure-works.com,Liverpool,England,United Kingdom,2012-05-09
16827,Jeffery,Chen,jeffery2@adventure-works.com,Wokingham,England,United Kingdom,2012-05-14
16938,Abigail,Williams,abigail49@adventure-works.com,Newcastle upon Tyne,England,United Kingdom,2012-05-11
19280,Darrell,Andersen,darrell2@adventure-works.com,Paris,Seine (Paris),France,2012-05-10
19322,Gerald,Romero,gerald17@adventure-works.com,London,England,United Kingdom,2012-05-11
20720,Regina,Subram,regina12@adventure-works.com,Hamburg,Hamburg,Germany,2012-05-09
22402,Clarence,Xie,clarence18@adventure-works.com,Rockhampton,Queensland,Australia,2012-05-10
22408,Clarence,Shan,clarence25@adventure-works.com,South Melbourne,Victoria,Australia,2012-05-10
22578,Juan,Vazquez,juan3@adventure-works.com,Seaford,Victoria,Australia,2012-05-09
22581,Theresa,Vazquez,theresa10@adventure-works.com,Wollongong,New South Wales,Australia,2012-05-10
22845,Jake,Chen,jake2@adventure-works.com,Sydney,New South Wales,Australia,2012-05-09
22851,Kaylee,Edwards,kaylee21@adventure-works.com,Caloundra,Queensland,Australia,2012-05-10
22854,Ebony,Mehta,ebony14@adventure-works.com,Townsville,Queensland,Australia,2012-05-11
22857,Julio,Romero,julio9@adventure-works.com,Warrnambool,Victoria,Australia,2012-05-08
22904,Mitchell,Shen,mitchell2@adventure-works.com,Hobart,Tasmania,Australia,2012-05-12
26433,Nelson,Rubio,nelson20@adventure-works.com,Silverwater,New South Wales,Australia,2012-05-10
26438,Alisha,Shen,alisha26@adventure-works.com,Malabar,New South Wales,Australia,2012-05-11
26491,Riley,Sanchez,riley37@adventure-works.com,Bellingham,Washington,United States,2012-05-09
26536,Katherine,Thomas,katherine81@adventure-works.com,Glendale,California,United States,2012-05-10
26539,Faith,Hayes,faith22@adventure-works.com,Burlingame,California,United States,2012-05-12
26545,Taylor,Ross,taylor29@adventure-works.com,Downey,California,United States,2012-05-14
26575,Toni,Gonzalez,toni19@adventure-works.com,Burlingame,California,United States,2012-05-10
